i	north	east	parent	distance	visited
0	90	0	-1	0	1
1	36.6778	-121.656	0	132.828	1
2	35.7	51.4167	0	74.7808	1
3	51.2311	6.77238	0	39.3559	1
4	46.5928	-112.035	0	120.15	1
5	27.7306	30.8425	0	69.4892	1
6	21.3786	-77.9186	0	103.828	1
7	46.2	6.15	0	44.2297	1
8	33.868	109.924	0	123.427	1
9	44.8167	20.4667	0	49.6026	1
10	51.4833	7.21667	0	39.1869	1
11	24.2998	116.119	0	133.417	1
12	30.1256	104.64	0	120.559	1
13	47.79	22.89	0	48.017	1
14	25.42	86.13	0	107.652	1
15	41.2333	-8.61667	0	49.5221	1
16	25.18	75.83	0	99.7588	1
17	-31.7719	-52.3428	0	132.545	1
18	-4.27583	-55.9839	0	109.645	1
19	20.1444	92.8969	0	116.231	1
20	31.1308	30.6479	0	66.3692	1
21	43.6	-79.65	0	92.1796	1
22	37.8576	113.576	0	124.974	1
23	40.6562	109.835	0	120.409	1
24	47.3653	7.34722	0	43.2632	1
25	45.7	-73.6333	0	85.9323	1
26	35.2647	139.152	0	149.53	1
27	41.0967	-73.5522	0	88.3259	1
28	34.2	74.34	0	92.952	1
29	40.6944	-73.3294	0	88.3643	1
30	34.0911	74.8061	0	93.3904	1
31	2.82	-60.6719	0	106.214	1
32	32.7153	-97.0169	0	112.667	1
33	-7.80139	110.364	0	147.463	1
34	66.5028	25.7285	0	34.8436	1
35	37.7644	38.2763	0	64.7583	1
36	11.1333	39.6333	0	88.2652	1
37	60.0986	19.9444	0	35.9426	1
38	38.8671	115.485	0	126.298	1
39	33.5606	35.3758	0	66.6098	1
40	-22.9789	-49.8708	0	123.496	1
41	22.2769	113.568	0	132.227	1
42	56.1286	40.4058	0	52.7248	1
43	53.2	45	0	58.1312	1
44	23.9722	121.606	0	138.376	1
45	38.7217	139.822	0	148.928	1
46	-14.2794	-170.701	0	200.032	1
47	21.6618	110.918	0	130.28	1
48	-10.7183	13.75	0	101.653	1
49	12	8.51667	0	78.4636	1
50	60.9389	76.595	0	81.9228	1
51	4.85	31.6	0	90.8245	1
52	35.8794	139.52	0	149.649	1
53	33.2667	130.3	0	142.115	1
54	47.4222	40.0939	0	58.4841	1
55	63.44	10.4	0	28.5236	1
56	22.47	70.07	0	97.3145	1
57	37.5	122.1	0	132.908	1
58	32.6278	-117.048	0	130.353	1
59	26.2456	105.934	0	123.639	1
60	-9.07454	-78.5936	0	126.462	1
61	52.5333	13.1667	0	39.7129	1
62	50.7664	0.286111	0	39.2347	1
63	-4.05	39.6667	0	102.073	1
64	38.1157	13.3613	0	53.5771	1
65	-33.123	-64.3478	0	138.924	1
66	55.0333	82.9167	0	89.988	1
67	41.7481	-88.1656	0	100.506	1
68	22.335	91.8325	0	114.069	1
69	4.61264	-74.0705	0	113.037	1
70	49.4431	1.1025	0	40.5719	1
71	15.6031	32.5265	0	81.1965	1
72	23.0292	113.106	0	131.446	1
73	4.41472	114.009	0	142.558	1
74	35.8322	140.146	0	150.25	1
75	46.5979	125.008	0	132.328	1
76	18.672	78.094	0	105.766	1
77	35.8461	-86.3921	0	101.962	1
